place,address
イトーヨーカドー南大沢,東京都八王子市南大沢２−２８−１
イトーヨーカドー葛西,東京都江戸川区東葛西９−３−３
イトーヨーカドー八王子,東京都八王子市狭間町１４６２−１
イトーヨーカドー木場,東京都江東区木場１−５−３０
イトーヨーカドー東大和,東京都東大和市桜が丘２−１４２−１
イトーヨーカドー国領,東京都調布市国領町８−２−６４
イトーヨーカドー大森,東京都大田区大森北２−１３−１
イトーヨーカドーアリオ亀有,東京都葛飾区亀有３−４９−３
イトーヨーカドーアリオ亀有,東京都葛飾区亀有３−４９−３
イトーヨーカドーアリオ西新井,東京都足立区西新井栄町１−２０−１
イトーヨーカドー武蔵小金井,東京都小金井市本町６−１４−９
イトーヨーカドーアリオ北砂,東京都江東区北砂２−１７
イトーヨーカドー三ノ輪,東京都荒川区南千住１?９?１
イトーヨーカドー武蔵境,東京都武蔵野市境南町２−２−２０
イトーヨーカドー小岩,東京都江戸川区西小岩１−２４−１
イトーヨーカドー多摩センター,東京都多摩市落合１−４４
イトーヨーカドー綾瀬,東京都足立区綾瀬３−４−２５
イトーヨーカドー四つ木,東京都葛飾区四つ木２−２１−１
イトーヨーカドー東久留米,東京都東久留米市本町３−８−１
イトーヨーカドー赤羽,東京都北区赤羽西１−７−１
イトーヨーカドー大井町,東京都品川区大井１−３−６
ライフ千川駅前店,東京都豊島区要町３−４５−４
ライフ篠崎店,東京都江戸川区篠崎町７−２７−１
ライフ府中中河原店,東京都府中市住吉町１−８４−１
ユーズランド日の出店,東京都西多摩郡日の出町大字平井字三吉野桜木２３７−３イオンモール日の出３Ｆ
アドアーズ南砂町ＳＵＮＡＭＯ店,東京都江東区新砂３−４−３１南砂町ショッピングセンターＳＵＮＡＭＯ４階
アドアーズ錦糸町店,東京都墨田区太平４−１−２オリナスモール地下１階
アドアーズ南砂町ＳＵＮＡＭＯ店,東京都江東区新砂３−４−３１南砂町ショッピングセンターＳＵＮＡＭＯ４階
東急本店,東京都渋谷区道玄坂２−２４−１東急百貨店本店６Ｆ
東急百貨店　吉祥寺店　6F玩具売場,東京都武蔵野市吉祥寺本町２−３−１東急百貨店吉祥寺店６Ｆ
パロ聖蹟桜ヶ丘,東京都多摩市関戸４丁目７２番地聖蹟桜ヶ丘オーパ店６Ｆ
ビックカメラ立川店,東京都立川市曙町２−１２−２
ビックカメラＪＲ八王子店,東京都八王子市八王子市旭町１−１７トイズコーナー
ビックカメラ池袋西口店,東京都豊島区西池袋１−１６−３
ビックカメラビックロ新宿東口店,東京都新宿区新宿３−２９−１
ビックカメラ新宿西口店,東京都新宿区西新宿１−５−１ハルク５Ｆトイズコーナー
ビックカメラ有楽町店本館,東京都千代田区有楽町１−１１−１３Ｆ
ドラマ日野南平,東京都日野市南平３−１９−２１
ドラマめじろ台,東京都八王子市椚田町５５３−１７
ドラマ楢原,東京都八王子市楢原町３１７−１
ヨドバシカメラ吉祥寺,東京都武蔵野市吉祥寺本町１−１９−１５Ｆ
ヨドバシカメラ町田,東京都町田市原町田１−１−１１Ｂ１Ｆ
ヨドバシカメラ八王子,東京都八王子市東町７?４
ヤマダ電機ＬＡＢＩ品川大井町,東京都品川区東大井５丁目２０−１ＡＶソフトコーナー
ヨドバシカメラ新宿西口本店,東京都新宿区西新宿１−１１−１ゲームホビー館５Ｆ
ヨドバシカメラ新宿東口,東京都新宿区新宿３−２６−７
ヨドバシカメラ錦糸町,東京都墨田区江東橋３−１４−５錦糸町ステーションビル内
ヨドバシカメラＡｋｉｂａ,東京都千代田区神田花岡町１−１６Ｆ
ヨドバシカメラ上野,東京都台東区上野４−１０−１０７Ｆゲームフロアー
アドベンチャーリーフ国領店,東京都調布市国領町８−２−６４イトーヨーカドー国領店３階
アトランティス豊洲店,東京都江東区豊洲３−４スーパービバホーム豊洲店２階
ハローズガーデン北砂店,東京都江東区北砂２−１７−１アリオ北砂店アリオモール３階
ハローズガーデン東大和店,東京都東大和市桜が丘２−１４２−１イトーヨーカ堂東大和店２階
タイトーステーション町田店,東京都町田市原町田６−２１−２３
タイトーステーション祖師ヶ谷大蔵店,東京都世田谷区砧８−１０番１号
タイトーステーション多摩センター店,東京都多摩市落合１−４５−１
ハロータイトー八王子みなみ野店,東京都八王子市みなみ野１−８−１ＢＯＯＫＯＦＦ内タイトー
タイトーステーション新宿南口ゲームワールド店,東京都新宿区新宿３−３５−８
Ｈｅｙ,東京都千代田区外神田１−１０−５
Ｈｅｙ,東京都千代田区外神田１−１０−５
タイトーステーションＢＩＧＢＯＸ高田馬場店,東京都新宿区高田馬場１−３５−３
タイトーステーション新宿東口店,東京都新宿区新宿３−２２−７
ＣＬＵＢＳＥＧＡ新宿西口,東京都新宿区西新宿１−１２−５
ハイテクランドセガシブヤ,東京都渋谷区渋谷１−１４−１４ＥＳＴ１階
ＣＬＵＢＳＥＧＡ自由ヶ丘,東京都目黒区自由ヶ丘２−１０−９
池袋ＧＩＧＯ,東京都豊島区東池袋１−２１−１
ＣＬＵＢＳＥＧＡ秋葉原新館,東京都千代田区外神田一丁目１１番１１号外神田１丁目ビルディング
秋葉原ＧＩＧＯ,東京都千代田区外神田１−１５−１
ヤマダ電機ＬＡＢＩ新宿西口館,東京都新宿区西新宿１−１８−８
キッズトレイン成績桜ヶ丘?,東京都多摩市関戸１−１０−１京王聖蹟桜ヶ丘ショッピングセンターA館８F
