place,address
アルプラザ敦賀,福井県敦賀市白銀町１１番５号
ジョーシン福井本店,福井県福井市高柳１−２０１
モーリーファンタジー鯖江,福井県鯖江市下河端１６字下町１６−１アル・プラザ鯖江２Ｆ
アル・プラザベル,福井県福井市花堂南２−１６−１
らんらんらんど武生,福井県越前市横市町２８−１４−１エスカモール武生楽市店１Ｆ
らんらんらんど福井店,福井県福井市松城町１２−７
アルプラザベル,福井県福井市花堂南２−１６−１
アピタ福井大和田,福井県福井市大和田町２−１２３０
アピタ敦賀,福井県敦賀市中央町１丁目５番５号
