place,address
フジグラン野市,高知県香南市野市町西野２００７－１
フジグラン葛島,高知県高知市小倉町３番３０号
フジグラン高知,高知県高知市朝倉東町５２－１５
プラサカプコン高知,高知県高知市秦南町１－４－８イオンモール高知２Ｆ
モーリーファンタジー高知,高知県高知市秦南町１丁目４－８イオン２Ｆ
イオン高知,高知県高知市秦南町１－４－８
