place,address
ＮＩＣＯＰＡ横浜四季の森フォレオ,神奈川県横浜市旭区上白根３丁目４１番１号
ニコパニトリモール相模原,神奈川県相模原市南区大野台６−１−１ニトリモール相模原３Ｆ
Ｆｏｒｋｉｄｓ’トレッサ横浜,神奈川県横浜市港北区師岡町７００番地トレッサ横浜南棟３Ｆ
ヨドバシカメラ川崎ルフロン,神奈川県川崎市川崎区日進町１−１１４Ｆ
テックランド磯子,神奈川県横浜市磯子区磯子１−２−１
テックランド横浜泉,神奈川県横浜市泉区上飯田町３９３７
マルエツさがみ野,神奈川県海老名市東柏ヶ谷５−１４−６
エスポット湯河原,神奈川県足柄下郡湯河原町吉浜１５７６−４７
エスポット新横浜,神奈川県横浜市港北区北新横浜１−３−１６
富士シティオ野比,神奈川県横須賀市野比１−３９−８
富士シティオ善行,神奈川県藤沢市善行坂１−３−１７
富士シティオ稲田堤,神奈川県川崎市多摩区菅３−１２−３６
らんらんらんど三ﾂ境,神奈川県横浜市瀬谷区三ツ境７−１ダイエー三ツ境店２Ｆ
らんらんらんど綾瀬,神奈川県綾瀬市大上２−１−１ダイエー綾瀬店３Ｆ
ビックカメララゾーナ川崎店,神奈川県川崎市幸区堀川町７２−１３Ｆトイズコーナー
ビックカメララゾーナ川崎店,神奈川県川崎市幸区堀川町７２−１３Ｆトイズコーナー
ハローズガーデン綾瀬店,神奈川県綾瀬市深谷３７３４−１綾瀬タウンヒルズショッピングセンター２階
スーパーアルプス愛川,神奈川県愛甲郡愛川町角田５８０スーパーアルプス愛川店
ファンタスティックジャーニー横浜,神奈川県横浜市都筑区池辺町４０３５−１イトーヨーカドーららぽーと横浜店２Ｆ
ドラマ二本松,神奈川県相模原市緑区二本松３−２１−１８
ドラマ港北,神奈川県横浜市都筑区東方町３２１−６
ドラマ藤沢,神奈川県藤沢市本藤沢５−６−８
ダイエー金沢八景,神奈川県横浜市金沢区泥亀１−２７−１
宝島大和,神奈川県大和市つきみ野１−６−１イオンつきみ野店４階
セガワールドトレッサ横浜,神奈川県横浜市港北区師岡町７００番地トレッサ横浜南棟１Ｆ
ＣＬＵＢＳＥＧＡ綱島,神奈川県横浜市港北区綱島西２−６−２９城田ビル３Ｆ
西友平塚,神奈川県平塚市東中原１−１−２５
西友二宮,神奈川県中郡二宮町中里２−６−２８
イトーヨーカドー若葉台,神奈川県横浜市旭区若葉台３−７−１
アドアーズ橋本店,神奈川県相模原市緑区橋本３−３−１ＳＩＮＧ橋本２Ｆ
イトーヨーカドーららぽーと横浜,神奈川県横浜市都筑区池辺町４０３５−１
イトーヨーカドーアリオ橋本,神奈川県相模原市緑区大山町１ー２２
プレイランド大和鶴間店,神奈川県大和市下鶴間一丁目３−１イトーヨーカドー大和鶴間店３Ｆ
プレイランド川崎店,神奈川県川崎市川崎区小田栄二丁目２−１イトーヨーカドー川崎店３Ｆ
ＳＯＹＵ　Ｇａｍｅ　Ｆｉｅｌｄ湘南店,神奈川県藤沢市辻堂新町四丁目１番１号湘南モールＦＩＬＬ２Ｆ
トイザらス秦野,神奈川県秦野市曽屋４７８４
アピナ橋本店,神奈川県相模原市緑区西橋本５−１−１ラ・フロール駐車場棟１階
トイザらス東戸塚,神奈川県横浜市戸塚区川上町８７−８東戸塚西口プラザ２Ｆ
トイザらス川崎高津,神奈川県川崎市高津区溝口６−１１−１
モーリーファンタジーつきみ野３Ｆ,神奈川県大和市つきみ野町１−６−１イオン３Ｆ
モーリーファンタジー横浜新吉田,神奈川県横浜市港北区新吉田東八丁目４９番１号イオン２Ｆ
モーリーファンタジー茅ヶ崎,神奈川県茅ヶ崎市茅ヶ崎２−７−７１イオン２Ｆ
モーリーファンタジー茅ヶ崎中央,神奈川県茅ヶ崎市茅ケ崎３丁目５番１６号イオン３Ｆ
モーリーファンタジー久里浜,神奈川県横須賀市久里浜５丁目１３−１イオン２Ｆ
モーリーファンタジー厚木,神奈川県厚木市中町１−５−１０イオン４Ｆ
トイザらス平塚,神奈川県平塚市代官町３３−１ＯＳＣ湘南シティ１Ｆ
モーリーファンタジー秦野,神奈川県秦野市入船町１２−１イオン２Ｆ
モーリーファンタジー大和,神奈川県大和市下和田字上ノ原１２１６−１イオン３Ｆ
モーリーファンタジー大和鶴間,神奈川県大和市下鶴間一丁目２番１号イオン３Ｆ
トイザらス港北ニュータウン,神奈川県横浜市都筑区茅ケ崎中央１４−１２キーサウス２Ｆ
モーリーファンタジー本牧,神奈川県横浜市中区本牧原７−１イオン５Ｆ
パロ横須賀,神奈川県横須賀市本町２−１−１２ショッパーズプラザ横須賀店４Ｆ
らんらんらんどサクラス戸塚,神奈川県横浜市戸塚区戸塚町４２５３−１サクラス戸塚店２Ｆ
らんらんらんどすすき野,神奈川県横浜市青葉区すすき野２−５−４すすき野とうきゅう店２Ｆ
らんらんらんどルララ港北,神奈川県横浜市都筑区中川中央２−２−１ルララこうほく４Ｆ
らんらんらんど戸塚,神奈川県横浜市戸塚区吉田町８８４ダイエー戸塚店３Ｆ
らんらんらんど上溝,神奈川県相模原市中央区上溝５−１４−１９ダイエー上溝店４Ｆ
らんらんらんど相模原,神奈川県相模原市中央区相模原３−９−２１ダイエー相模原店４Ｆ
トイザらス藤沢,神奈川県藤沢市辻堂新町４−１−１湘南モールフィル２Ｆ
プリズムストーン横浜,神奈川県横浜市西区 みなとみらい2-2-1-2 横浜ランドマークプラザ4F
ビックカメラ新横浜店９Ｆトイズコーナー,神奈川県横浜市港北区新横浜２丁目１００−４５新横浜中央ビル９階
ビックカメラ相模大野駅店,神奈川県相模原市南区相模大野３−８−１相模大野ステーションスクエアＢ館６Ｆ
ビックカメラ藤沢店,神奈川県藤沢市藤沢５５９増田ビル遊行通り共同ビル６Ｆ
ビックカメララゾーナ川崎店,神奈川県川崎市幸区堀川町７２−１３Ｆトイズコーナー
イオン金沢シーサイド,神奈川県横浜市金沢区並木２−１３−１
イオン新百合丘,神奈川県川崎市麻生区上麻生１−１９
イオン橋本,神奈川県相模原市緑区橋本６−２−１
イオン相模原,神奈川県相模原市南区古淵２−１０−１
イオン海老名,神奈川県海老名市中央２−４−１
イオン本牧,神奈川県横浜市中区本牧原７−１
イオンつきみ野,神奈川県大和市つきみ野１−６−１
イオン大和鶴間,神奈川県大和市下鶴間１−２−１
イオン茅ヶ崎中央,神奈川県茅ヶ崎市茅ヶ崎３−５−１６
イオン秦野,神奈川県秦野市入船町１２−１
イオン茅ヶ崎,神奈川県茅ヶ崎市茅ヶ崎２−７−７１
イオン厚木,神奈川県厚木市中町１−５−１０
ミスターマックス湘南藤沢,神奈川県藤沢市辻堂新町４−３−５
らんらんらんど相模原小山,神奈川県相模原市中央区小山３−３７−１相模原モール２階
らんらんらんど小田栄,神奈川県川崎市川崎区小田栄２−３−１ホームセンターコーナン２階
ジョーシン相模原小山,神奈川県相模原市中央区小山３−３７−１
西友武蔵新城,神奈川県川崎市中原区上新城２−１２−１
西友二俣川,神奈川県横浜市旭区二俣川２−５２−１
ダイエー東戸塚,神奈川県横浜市戸塚区品濃町５３５−１
イトーヨーカドー洋光台,神奈川県横浜市磯子区洋光台３−１０−３
イトーヨーカドー大船,神奈川県鎌倉市大船６−１−１
イトーヨーカドー武蔵小杉,神奈川県川崎市中原区小杉町３−４２０
イトーヨーカドー新百合ヶ丘,神奈川県川崎市麻生区上麻生１−４−１
イトーヨーカドー古淵,神奈川県相模原市南区古淵３−１３−３３
イトーヨーカドー小田原,神奈川県小田原市中里２９６−１
イトーヨーカドー鶴見,神奈川県横浜市鶴見区鶴見中央３−１５−３０
イトーヨーカドー湘南台,神奈川県藤沢市石川６−２−１
イトーヨーカドー立場,神奈川県横浜市泉区中田西１−１−１５
イトーヨーカドーららぽーと横浜,神奈川県横浜市都筑区池辺町４０３５−１
イトーヨーカドーアリオ橋本,神奈川県相模原市緑区大山町１ー２２
西武百貨店　小田原店　2F玩具売場,神奈川県小田原市中里２０８西武百貨店小田原店２Ｆ
Ｆｏｒｋｉｄｓ’byこぐま港北店,神奈川県横浜市都筑区中川中央１−３１−１−４４２０モザイクモール港北４階
楽市楽座湘南藤沢,神奈川県藤沢市辻堂新町４丁目３番５号ミスターマックス湘南藤沢ＳＣ２階
らんらんらんど向ケ丘,神奈川県川崎市多摩区登戸２７８９ダイエー向ヶ丘店３Ｆ
らんらんらんど東戸塚,神奈川県横浜市戸塚区品濃町５３５−１ダイエー東戸塚店３Ｆ
ビックカメラ相模大野駅店,神奈川県相模原市南区相模大野３−８−１相模大野ステーションスクエアＢ館６Ｆ
