place,address
トイザらス宇都宮,栃木県宇都宮市鶴田町２０８－１
トイザらス佐野,栃木県佐野市高萩町１３２４－１イオン佐野新都市ショッピングセンター２Ｆ
トイセルタウン　おもちゃのまち本店,栃木県下都賀郡壬生町おもちゃのまち１－２－２０
ＪＯＹＦＵＬ－２宇都宮,栃木県河内郡上三川町磯岡４２１－１
ザ・ビッグエクストラ真岡,栃木県真岡市台町２６６８
ザ・ビッグエクストラさくら,栃木県さくら市桜野１５５１
ヨークベニマル西那須野,栃木県那須塩原市西大和１－８
セガ今市,栃木県日光市芹沼１４４８－１
セガワールド宇都宮,栃木県宇都宮市東宿郷５－１－７
ヨドバシカメラ宇都宮,栃木県宇都宮市駅前通り１－４－６宇都宮西口ビル７Ｆ
ジャンボリー御幸ケ原店,栃木県宇都宮市御幸が原５０－１ヨークベニマル御幸が原店内プレビプレイランドコーナージャンボリー
テクモピアパルテノン宇都宮店,栃木県宇都宮市今泉町２３７福田屋ショッピングプラザ宇都宮店２Ｆ
テクモピア鹿沼店,栃木県鹿沼市東末広町１０７３福田屋鹿沼店３階
てくもぴあ　ゆうらく工房店,栃木県宇都宮市インターパーク４－１－３インターパークショッピングビレッジ
アピタ足利,栃木県足利市朝倉町２４５
アピタ宇都宮,栃木県宇都宮市江曽島本町２２－７
福田屋百貨店　　宇都宮店,栃木県宇都宮市今泉町２３７番地２Ｆ
福田屋百貨店　　インターパーク店,栃木県宇都宮市インターパーク６－１－１２Ｆ
タイトーステーション　宇都宮ベルモール店,栃木県宇都宮市陽東６丁目２－１
あぐり～ず小山店,栃木県小山市中央町３－７－１
イトーヨーカドー小山,栃木県小山市駅東通り２－３－１５
イトーヨーカドー宇都宮,栃木県宇都宮市陽東６－２－１
アピナ小山店,栃木県小山市駅南町４－２７－１８
モーリーファンタジーさくら,栃木県さくら市桜野１５５１ザビッグ１Ｆ
モーリーファンタジー今市,栃木県日光市豊田字若林７９－１イオン２Ｆ
モーリーファンタジー佐野新都市,栃木県佐野市高萩町１３２４－１イオン２Ｆ
モーリーファンタジー小山,栃木県小山市中久喜１４６７－１イオン２Ｆ
モーリーファンタジー真岡,栃木県真岡市台町２６６８ザビッグ１Ｆ
モーリーファンタジー栃木,栃木県栃木市箱森町３７番９号イオン２Ｆ
モーリーファンタジー那須塩原,栃木県那須塩原市島方４５５イオンタウン１Ｆ
パロ石橋,栃木県下野市下古山３３６２－１ヨークタウン
らんらんらんど宇都宮,栃木県宇都宮市睦町５－５スーパーセンタートライアル宇都宮店１Ｆ
らんらんらんど足利,栃木県足利市朝倉町２－２１－１６ヨークタウン足利店１Ｆ
イオン栃木,栃木県栃木市箱森町３７－９
テクモピアロックダムインターパーク,栃木県宇都宮市インターパーク６－１－１FKDショピングモールインターパーク店２階
