名前,address_orig,住所,お店の場所,経緯度
MEGAドンキホーテ蓮田,,埼玉県ふじみ野市ふじみ野1-2-1,,"139.65774399999998,35.980256"
モーリーファンタジー甲府昭和,山梨県中巨摩郡（ナカコマグン）昭和町常永土地区画整理地内１街区イオン３Ｆ,山梨県中巨摩郡(ナカコマグン)昭和町常永土地区画整理地内1,街区イオン3F,"138.5274898,35.6221"
らんらんらんど南アルプス,山梨県南アルプス市小笠原１４２３－１トライアル南アルプス店Ｂ１Ｆ,山梨県南アルプス市小笠原1423-1,トライアル南アルプス店B1F,"138.4670873,35.6180403"
イオン甲府昭和,山梨県中巨摩郡昭和町常永土地区画整理地内一街区,山梨県中巨摩郡昭和町常永土地区画整理地内一街区,,"138.5273714,35.6230043"
タイトー F ステーション ラザウォーク甲斐双葉店,,山梨県笛吹市石和町駅前16-1,,"138.48218799999995,35.685415"
トイザらス新潟,新潟県新潟市中央区上近江４－１２－２０デッキィ４０１内,新潟県新潟市中央区上近江4-12-20,デッキィ401内,"139.0296965,37.8983801"
ヨドバシカメラ新潟,新潟県新潟市中央区花園１－１－１,新潟県新潟市中央区花園1-1-1,,"139.0611787,37.911882"
こころっこ上越,新潟県上越市とよば２３９番の１バロー上越店内,新潟県上越市とよば239,の1バロー上越店内,"138.2768431,37.1026512"
イトーヨーカドー丸大新潟,新潟県新潟市中央区本町通り ６－１１２２－１,新潟県新潟市中央区本町通り6-1122-1,,"139.0470495,37.9200369"
モーリーファンタジー十日町,新潟県十日町市字川端丑７８４－１イオン１Ｆ,新潟県十日町市字川端丑784-1,イオン1F,"138.7456064,37.1383552"
モーリーファンタジー小千谷,新潟県小千谷市大字平沢新田字荒田３３９イオン２Ｆ,新潟県小千谷市大字平沢新田字荒田339,イオン2F,"138.7941555,37.3198377"
モーリーファンタジー上越,新潟県上越市富岡３４５８番地アコーレ２階アコーレ２Ｆ,新潟県上越市富岡3458,アコーレ2階アコーレ2F,"138.2587701,37.1523677"
モーリーファンタジー上越新井,新潟県妙高市栗原４－７－１１新井Ｓｃ１Ｆ,新潟県妙高市栗原4-7-11,新井Sc1F,"138.2618014,37.0544302"
モーリーファンタジー新発田,新潟県新発田市住吉町５丁目１１番５号イオン２Ｆ,新潟県新発田市住吉町5-11-5,イオン2F,"139.3099392,37.9426554"
ビックカメラ新潟店,新潟県新潟市中央区花園１－１－２１ＣｏＣｏＬｏ南館内１Ｆ,新潟県新潟市中央区花園1-1-21,CoCoLo南館内1F,"139.0633178,37.9118368"
イオン長岡,新潟県長岡市古正寺１－２４９－１,新潟県長岡市古正寺1-249-1,,"138.8233759,37.4542016"
イオン上越,新潟県上越市富岡３４５７,新潟県上越市富岡3457,,"138.2586248,37.153082"
アピタ黒部,富山県黒部市前沢字北１０１７番地４,富山県黒部市前沢字北1017-4,,"137.446028,36.8629382"
トイザらス札幌厚別,北海道札幌市厚別区厚別西四条２－８－７,北海道札幌市厚別区厚別西四条2-8-7,,"141.4564012,43.0511274"
トイザらス旭川,北海道旭川市永山１２条３－１２２－５５　ウエスタンパワーズ内,北海道旭川市永山12,条3ー122ー55 ウエスタンパワーズ内,"142.412802,43.7796655"
トイザらス釧路,北海道釧路市昭和中央３－３－８,北海道釧路市昭和中央3-3-8,,"144.360028,43.0221011"
西友手稲,北海道札幌市手稲区前田１条１１－３１１－１　,北海道札幌市手稲区前田1,条11ー311ー1,"141.2454174,43.1205195"
ダイエー東さっぽろ,北海道札幌市白石区東札幌３条２－１　,北海道札幌市白石区東札幌3,条2ー1,"141.3852794,43.0527137"
ダイエー上磯,北海道北斗市七重浜４－４４－１　,北海道北斗市七重浜4-44-1,,"140.712659,41.8214675"
イオン旭川西,北海道旭川市緑町２３丁目２１６１－３　,北海道旭川市緑町23-2161-3,,"142.3265629,43.7939401"
イオン旭川春光,北海道旭川市春光町１０　,北海道旭川市春光町10,,"142.3559232,43.7929147"
ヨドバシカメラ札幌,北海道札幌市北区北６条西５－１－２２３Ｆ,北海道札幌市北区北6,条西5ー1ー223F,"141.3475799,43.0684548"
おもちゃのヨシダ,北海道旭川市本町３丁目 新橘通りベルフォーレ横,北海道旭川市本町3,新橘通りベルフォーレ横,"142.355962,43.7810568"
キャッツアイ新札幌店,北海道札幌市厚別区厚別東５条１丁目,北海道札幌市厚別区厚別東5,条1ー,"141.4757921,43.0452621"
キャッツアイ清田店,北海道札幌市清田区清田１条１丁目２０－１,北海道札幌市清田区清田1,条1ー20ー1,"141.4363906,43.0030159"
キャッツアイBIG東苗穂店,北海道札幌市東区東苗穂３条２丁目,北海道札幌市東区東苗穂3,条2ー,"141.4046097,43.0861308"
イトーヨーカドー旭川,北海道旭川市６条１４丁目６４番地,北海道旭川市6,条14ー64ー,"142.3724845,43.7688496"
イトーヨーカドー釧路,北海道釧路市新橋大通６丁目２,北海道釧路市新橋大通6-2,,"144.3718753,43.0053723"
イトーヨーカドー恵庭,北海道恵庭市恵み野西２丁目１,北海道恵庭市恵み野西2-1,,"141.5753794,42.9015715"
モーリーファンタジー江別,北海道江別市幸町３５ イオン３Ｆ,北海道江別市幸町35,イオン3F,"141.5339453,43.0969525"
モーリーファンタジー札幌桑園,北海道札幌市中央区北８条西１４丁目２８番地　　イオン２Ｆ,北海道札幌市中央区北8,条西14ー28ー  イオン2F,"141.3330313,43.0693613"
モーリーファンタジー札幌平岡,北海道札幌市清田区平岡３条５丁目３－１イオン２Ｆ,北海道札幌市清田区平岡3,条5ー3ー1イオン2F,"141.4580657,42.9966956"
モーリーファンタジー手稲山口,北海道札幌市手稲区明日風６丁目１番１号ＳｕＣ１Ｆ,北海道札幌市手稲区明日風6-1-1,SuC1F,"141.2337697,43.14190550000001"
モーリーファンタジー石狩緑苑台,北海道石狩市緑苑台中央１丁目２番ＳｕＣ１Ｆ,北海道石狩市緑苑台中央1-2,SuC1F,"141.3349246,43.1589651"
モーリーファンタジー名寄,北海道名寄市字徳田８０番地１イオンＳＣ２Ｆ,北海道名寄市字徳田80-1,イオンSC2F,"142.4530393,44.3386905"
らんらんらんど中標津,北海道標津郡中標津町南町３番地１０ 東武サウスヒルズ１Ｆ　　　,北海道標津郡中標津町南町3-10,東武サウスヒルズ1F,"144.9778147,43.53626320000001"
