名前,住所,お店の場所,経度,緯度
プラサカプコン横須賀,神奈川県横須賀市若松町2-30,モアーズシティ4F,139.6700954,35.2783375
プラサカプコン磯子,神奈川県横浜市磯子区磯子1-1-1,マリコム磯子SC2F,139.6262043,35.4134262
タイトーステーション 小田原シティーモールクレッセ店,神奈川県小田原市前川120,小田原シティモールクレッセ内2F,139.1938346,35.2822335
イトーヨーカドー上永谷,神奈川県横浜市港南区丸山台1-12,,139.5722271,35.4006591
イトーヨーカドー小田原,神奈川県小田原市中里296-1,,139.1887965,35.2817576
モーリーファンタジーつきみ野3F,神奈川県大和市つきみ野町1-6-1,イオン3F,139.4576057,35.5030009
モーリーファンタジー茅ヶ崎中央,神奈川県茅ヶ崎市茅ケ崎3-5-16,イオン3F,139.4026203,35.3359947
モーリーファンタジー久里浜,神奈川県横須賀市久里浜5-13-1,イオン2F,139.7042656,35.2290472
モーリーファンタジー厚木,神奈川県厚木市中町1-5-10,イオン4F,139.3666172,35.442089200000005
ハローズガーデン湘南店,神奈川県藤沢市遠藤字滝ノ沢698-10,湘南とうきゅう2F,139.4419688,35.3715036
THE 3RD PLANET 港北ニュータウン店,神奈川県横浜市筑区中川中央1-25-1,ノースポートモール6F,139.5794032,35.5520884
(株)ヤマダ電機 テックランド川崎店,神奈川県横浜市筑区中川中央1-25-1,ノースポートモール6F,139.71795399999996,35.533558
モーリーファンタジー大和,神奈川県大和市下和田字上ノ原1216-1,イオン3F,139.4663732,35.4348754
パロ横須賀,神奈川県横須賀市本町2-1-12,ショッパーズプラザ横須賀店4F,139.6622058,35.2828267
らんらんらんどすすき野,神奈川県横浜市青葉区すすき野2-5-4,すすき野とうきゅう店2F,139.5265494,35.5768291
ビックカメラ新横浜店9Fトイズコーナー,神奈川県横浜市港北区新横浜2-100-45,新横浜中央ビル9階,139.6172055,35.5076319
ビックカメラ藤沢店,神奈川県藤沢市藤沢559,増田ビル遊行通り共同ビル6F,139.4881938,35.3395456
ビックカメララゾーナ川崎店,神奈川県川崎市幸区堀川町72-13F,トイズコーナー,139.6958661,35.5330816
イオン金沢シーサイド,神奈川県横浜市金沢区並木2-13-1,,139.640657,35.361983
イオン新百合丘,神奈川県川崎市麻生区上麻生1-19,,139.5070185,35.602538
イオン海老名,神奈川県海老名市中央2-4-1,,139.3931861,35.4507276
アル・プラザ高槻,大阪府高槻市芥川町1-2,Cー201,135.61629910000002,34.8520456
トイザらス茨木,大阪府茨木市藤の里1-7-41,茨木ショッピングプラザ1F,135.5453096,34.837598
トイザらス泉北ニュータウン,大阪府堺市中区三原台1-1-3,JOYPARK泉ヶ丘3F,135.5142368,34.4988864
ライフ西宮原,大阪府大阪市淀川区西宮原2-2-22,,135.4923517,34.73525200000001
ライフ南津守,大阪府大阪市西成区南津守6-1-75,,135.483,34.6282706
ヤマダ電機LABI千里,大阪府豊中市新千里東町1-2-20,AVソフトコーナー,135.4948608,34.8120954
ダイエー池田駅前,大阪府池田市満寿美町2-2,,135.426216,34.8205125
セガ新三国アルゴ7,大阪府豊中市神州町1-15,,135.4796816,34.738431
AGスクエア岸和田,大阪府岸和田市港緑町2-12,,135.3715001,34.4667394
レインボーランド西岸和田店,大阪府岸和田市港緑町2-1,イズミヤ西岸和田店3階,135.3713416,34.4667101
タイトーFステーション 住道店,大阪府大東市赤井1-4-3,,135.619411,34.7085893
ジョーシン新石切,大阪府東大阪市弥生町16-12,ホームセンターコーナン2F,135.6372354,34.6792573
ROCKET DRIVE泉南店,大阪府泉南市りんくう南浜3-12,イオンモールりんくう泉南2F,135.2679621,34.3810544
