あみぱらんど福山店,広島県福山市三吉町南2-8-24,,133.3786191,34.4883603,2015-01
楽市楽座広島,広島県広島市南区段原南1-3-52,広島段原ショッピングセンター7階,132.4760186,34.3852255,2015-01
タイトーステーション広島本通店,広島県広島市中区本通3-5,,132.4604315,34.3928294,2015-01
セガワールド東広島,広島県東広島市西条中央7-2-14,,132.7378879,34.418759,2015-01
セガワールド宇品,広島県広島市南区宇品西3-4,フタバ図書GIGA宇品店内,132.4594267,34.3618245,2015-01
娯楽座メリーゴーランド高陽,広島県広島市安佐北区口田4-6-32,マックスバリュ高陽店3階,132.5060046,34.4683238,2015-01
アミューズメント141メリーゴーランド温品,広島県広島市東区温品1-3-2,フォレオ広島東2階,132.5036147,34.4076757,2015-01
メリーゴーランド神辺,広島県福山市神辺町新湯野2-30-4,アクト神辺1階,133.3893893,34.5575226,2015-01
ライフ春日野道,兵庫県神戸市中央区北本町通1-1-23,,135.2083425,34.6985161,2015-01
ライフ神戸駅前店,兵庫県神戸市中央区中町通り3-2-15,OZプラザ,135.1750745,34.6790871,2015-01
ライフ長田,兵庫県神戸市長田区北町1-4,,135.1531842,34.6664263,2015-01
ライフ本山,兵庫県神戸市東灘区本山南町6-10-28,,135.287233,34.7262618,2015-01
テックランド神戸垂水本店,兵庫県神戸市垂水区多聞町 868-6,,135.0596147,34.6713637,2015-01
アルプラザつかしん,兵庫県尼崎市塚口本町4-8-1,,135.4181531,34.760771,2015-01
らんらんらんど湊川,兵庫県神戸市兵庫区荒田町2-18-20,ダイエー湊川店3F,135.1662637,34.6809863,2015-01
らんらんらんど舞子,兵庫県神戸市垂水区舞子台6-20-17,ダイエー舞子店2F,135.0315953,34.6395585,2015-01
らんらんらんど甲子園,兵庫県西宮市甲子園高潮町3-3,ダイエー甲子園店3F,135.3618901,34.7235977,2015-01
ハローズ夢前台,兵庫県姫路市上手野310-8,,134.6618284,34.8551465,2015-01
ハローズガーデン姫路,兵庫県姫路市増位本町2-12-10,イオン姫路店2F,134.7061226,34.8568071,2015-01
ニシダヤ氷上,兵庫県丹波市氷上町本郷300,ゆめタウン1階,135.0454785,35.1588272,2015-01
タイトーFステーションHAT神戸店,兵庫県神戸市中央区脇浜海岸通2-2-2,ブルメールHAT神戸2F,135.2146676,34.6995547,2015-01
グルメシティ夙川,兵庫県西宮市羽衣町7-30,,135.3274456,34.7412747,2015-01
セガ神戸umieサウスモール,兵庫県神戸市中央区東川崎1-7-2,,135.1826931,34.6792952,2015-01
セガワールド花北,兵庫県姫路市増位新町1-62F,,134.7093766,34.855968,2015-01
ジョーシンつかしん,兵庫県尼崎市塚口本町4-8-1,,135.4181826,34.7618177,2015-01
ジョーシン伊丹昆陽イオンモール,兵庫県伊丹市池尻4-1-1,,135.3819082,34.7843679,2015-01
テクモピアフォーレ伊丹,兵庫県伊丹市藤木1-1-1,イオンモール伊丹テラス3F,135.4235449,34.7817621,2015-01
エディオン伊丹,兵庫県伊丹市北伊丹5-70-1,,135.4214367,34.79811,2015-01
エディオン尼崎,兵庫県尼崎市潮江1-1-50,,135.4325871,34.7314152,2015-01
エディオン洲本,兵庫県洲本市塩屋1-1-17,,134.8941763,34.3441284,2015-01
エディオン太子,兵庫県揖保郡太子町東南598-1,,134.5879593,34.8326525,2015-01
イズミヤ多田,兵庫県川西市多田桜木1-8-3,,135.41698,34.858276,2015-01
ふぇすたらんど土山,兵庫県明石市魚住町清水字舞々2208-1,イオン土山店内,134.8925009,34.7215378,2015-01
西友LIVIN姫路,兵庫県姫路市今宿2017-1,,134.6697063,34.8405725,2015-01
エディオン西宮,兵庫県西宮市芦原町9-23,,135.353991,34.7419352,2015-01
エディオン姫路,兵庫県姫路市飾磨区今在家1416-1,,134.6568809,34.797962,2015-01
イズミヤスーパーセンター神戸玉津,兵庫県神戸市西区森友3-7-3,,134.9827493,34.6635438,2015-01
楽市楽座イオンモール神戸北,兵庫県神戸市北区上津台8-1-1,イオンモール神戸北店3階,135.1942047,34.8600756,2015-01
らんらんらんど藤原台,兵庫県神戸市北区藤原台中町1-2-2,,135.2208265,34.821731,2015-01
らんらんらんど板宿,兵庫県神戸市須磨区前池町3-2-1,ダイエー板宿店4F,135.1321563,34.6621265,2015-01
らんらんらんど西神中央,兵庫県神戸市西区糀台5-3-4,ダイエー西神中央店3F,135.0192808,34.72008,2015-01
らんらんらんど竜野,兵庫県たつの市龍野町堂本字五反田250-1,ダイエー竜野店3F,134.5527312,34.8580576,2015-01
セガフェニックスプラザ摩耶,兵庫県神戸市灘区味泥町6-1,,135.2281331,34.70416,2015-01
レインボーランド神戸玉津店,兵庫県神戸市西区森友3-7-3,イズミヤ神戸玉津店2階,134.9827493,34.6635438,2015-01
パロ橋本彩の台,和歌山県橋本市あやの台1-50-2,彩の台ショッピングセンター,135.6511569,34.3371167,2015-01
らんらんらんど田辺,和歌山県田辺市宝来町24-26,グルメシティ田辺店3F,135.3881726,33.7347521,2015-01
レインボーランド和歌山店,和歌山県和歌山市新生町7-20,イズミヤ和歌山店2階,135.1874627,34.2216156,2015-01
アルプラザ守山,滋賀県守山市播磨田町185-1,,135.9948736,35.066592,2015-01
アルプラザ近江八幡,滋賀県近江八幡市桜宮町202-1,,136.0961291,35.13023,2015-01
平和堂米原,滋賀県米原市下多良2-47,,136.2875105,35.3143544,2015-01
フレンドマート浅井,滋賀県長浜市三田町1322,,136.311134,35.4258129,2015-01
らんらんらんど豊郷,滋賀県犬上郡豊郷町高野瀬197-1,ピアゴ豊郷店1F,136.2185081,35.202309,2015-01
GameFieldピエリ守山,滋賀県守山市今浜町2620-5,,135.9458904,35.123384,2015-01
AGスクエア大津,滋賀県大津市におの浜3-1-43,,135.8834052,35.0039335,2015-01
アルプラザ堅田,滋賀県大津市本堅田5-20-10,,135.9156319,35.1192954,2015-01
アルプラザ野洲,滋賀県野洲市小篠原1000,,136.0265004,35.0647374,2015-01
イズミヤスーパーセンター堅田,滋賀県大津市今堅田3-11-1,,135.9223116,35.1259393,2015-01
タイトーFステーションイオン近江八幡店,滋賀県近江八幡市鷹飼町南3-7,イオン近江八幡2番街1階,136.1031564,35.1217695,2015-01
ニコパウイングタウン岡崎,愛知県岡崎市羽根町小豆坂3,,137.174784,34.9233809,2015-01
レイク・リビン新稲沢,愛知県稲沢市朝府町4-1,,136.777127,35.25180940000001,2015-01
レイク・リビン平和,愛知県稲沢市平和町須ヶ脇367,,136.7288947,35.2044726,2015-01
レイク・リビン甚目寺,愛知県あま市甚目寺五位田128,,136.8257277,35.1969894,2015-01
ヨシヅヤ佐屋,愛知県愛西市須依町前田面95-1,,136.7180063,35.1510073,2015-01
ヨシヅヤ津島北テラス,愛知県津島市片岡町60,,136.7267927,35.1837669,2015-01
ヨシヅヤ津島本店,愛知県津島市大字津島字北新開351,,136.7473105,35.1753335,2015-01
ヨシヅヤ弥冨,愛知県弥富市鯏浦町南前新田123,,136.7266947,35.1105156,2015-01
